Publish_Dates,Mains,Sources,Document_Types,Web_Urls,New_Desks,Section_Names,Snippets
2017-02-08,Connecting Trump’s Dots,The New York Times,article,http://www.nytimes.com/2017/02/08/opinion/connecting-trumps-dots.html,OpEd,Opinion,"Trump made a series of reckless, unconnected promises to get elected, and now he’s just checking off each one...."
2017-02-08,"Love, Eventually",The New York Times,article,http://www.nytimes.com/2017/02/08/opinion/love-eventually.html,OpEd,Opinion,"It took a friend, then a lover to help me embrace the part of myself I had deliberately ignored...."
2017-02-08,1967: Mrs. Gandhi Is Hit in the Face by a Rock,The New York Times,blogpost,https://iht-retrospective.blogs.nytimes.com/2017/02/08/1967-mrs-gandhi-is-hit-in-the-face-by-a-rock/,None,None,"While campaigning in Bhubaneswar , Prime Minister Indira Gandhi was hit in the face by a stone...."
2017-02-08,Spending,The New York Times,article,http://www.nytimes.com/2017/02/08/learning/spending.html,Learning,The Learning Network,Do you have a problem with spending? Can you stick to a budget? Do you save? How aware are you of your habits with money in general?...
2017-02-08,Warren Silenced During Senate Debate,The New York Times,multimedia,http://www.nytimes.com/video/us/politics/100000004918915/elizabeth-warren-jeff-sessions.html,U.S. / Politics,U.S.,Senator Elizabeth Warren was accused of impugning a peer when she condemned Senator Jeff Sessions’s nomination for attorney general while reading a letter from Coretta Scott King on the Senate floor....
2017-02-08,"Kevin Durant Is Gone. Durant, Okla., Is Sad.",The New York Times,article,http://www.nytimes.com/2017/02/08/sports/basketball/kevin-durant-oklahoma-golden-state-warriors.html,Sports,Sports,"The grief over Durant’s departure as a free agent to join the Warriors is palpable in Durant, a quiet community about 150 miles southeast of Oklahoma City...."
2017-02-08,Word + Quiz: meddlesome,The New York Times,article,http://www.nytimes.com/2017/02/08/learning/08WODLN.html,Learning,The Learning Network,This word has appeared in 16 New York Times articles in the past year....
2017-02-08,What’s on TV Wednesday: ‘Manchester by the Sea’ and More Oscar Nominees,The New York Times,article,http://www.nytimes.com/2017/02/08/arts/television/whats-on-tv-wednesday-manchester-by-the-sea-and-oscar-nominees.html,Culture,Arts,Prepare for the Oscars by catching up with “Manchester by the Sea” and “Nocturnal Animals” online. Or revisit past nominees on TV....
2017-02-08,Pentagon Considers Leasing Space at Trump Tower,The New York Times,article,http://www.nytimes.com/2017/02/08/nyregion/pentagon-lease-trump-tower-conflict.html,National,N.Y. / Region,The suggestion raises questions about a potential conflict of interest because taxpayer dollars could be going directly to the president’s business interests....
2017-02-08,Boston Bruins Fire Coach Claude Julien,The New York Times,article,http://www.nytimes.com/2017/02/08/sports/boston-bruins-fire-coach-claude-julien.html,Sports,Sports,The Bruins are in danger of missing the playoffs for a third straight season....
2017-02-08,Rarely Seen Photos of Japanese Internment,The New York Times,multimedia,http://www.nytimes.com/slideshow/2017/02/08/blogs/rarely-seen-photos-of-japanese-internment.html,Blogs,Blogs,"Dorothea Lange’s photographs of Japanese-Americans interned during World War II capture not only the oppression of a people, but also their struggle to retain their dignity...."
2017-02-08,"Betsy DeVos, François Fillon, Melania Trump: Your Wednesday Briefing",The New York Times,article,http://www.nytimes.com/2017/02/08/briefing/betsy-devos-francois-fillon-melania-trump.html,NYTNow,Briefing,Here’s what you need to know to start your day....
2017-02-08,Time and a Relentless Clock Weigh on Hamburg Soccer Team,The New York Times,article,http://www.nytimes.com/2017/02/08/sports/soccer/hamburger-sv-bundesliga-hamburg.html,Sports,Sports,"A stadium clock notes that Hamburg has been in the Bundesliga since the German league was founded, a distinction it may soon lose...."
2017-02-08,"Damien Chazelle, ‘La La Land’ Director, on California’s Allure",The New York Times,article,http://www.nytimes.com/2017/02/08/travel/damien-chazelle-director-la-la-land-california.html,Travel,Travel,"The Griffith Observatory, Pasadena and palm trees — the Oscar-winning director of “La La Land” talks about why he loves L.A...."
2017-02-08,German Automakers Step Up to Silicon Valley Challenge,The New York Times,article,http://www.nytimes.com/2017/02/08/business/germany-bmw-daimler-volkswagen-uber.html,Business,Business Day,"BMW, Daimler and Volkswagen are striving with increasing urgency to ride the digital wave sweeping the industry, before it rolls over them...."
2017-02-08,Five Places to Go in Berlin,The New York Times,article,http://www.nytimes.com/2017/02/07/travel/five-places-to-go-berlin-germany-potsdamer-strasse.html,Travel,Travel,"Art galleries, cafes and bars have gravitated to Potsdamer Strasse in Berlin, once the domain of sex shops and prostitutes...."
2017-02-08,Republican Senators Vote to Formally Silence Elizabeth Warren,The New York Times,article,http://www.nytimes.com/2017/02/07/us/politics/republican-senators-vote-to-formally-silence-elizabeth-warren.html,National,U.S.,Ms. Warren was accused of impugning a peer when she condemned Senator Jeff Sessions’s nomination for attorney general while reading a letter from Coretta Scott King on the Senate floor....
2017-02-08,"Corrections: February 8, 2017",The New York Times,article,http://www.nytimes.com/2017/02/07/pageoneplus/corrections-february-8-2017.html,Corrections,Corrections,"Corrections appearing in print on Wednesday, February 8, 2017...."
2017-02-08,Rangers’ Henrik Lundqvist Stops 43 Shots as Alain Vigneault Gets 600th Win,The New York Times,article,http://www.nytimes.com/2017/02/07/sports/hockey/new-york-rangers-anaheim-ducks-henrik-lundqvist.html,Sports,Sports,"The 43 saves against the Anaheim Ducks were a season high for Lundqvist, who gave up fewer than three goals for the sixth time in seven starts...."
2017-02-08,"Richard Hatch, Who Starred in ‘Battlestar Galactica,’ Dies at 71",The New York Times,article,http://www.nytimes.com/2017/02/07/arts/richard-hatch-dead-.html,Culture,Arts,"He played Captain Apollo, a fighter pilot, in the original 1970s television series and later a political leader, Tom Zarek, in a reboot of the series in 2004...."
2017-02-08,2nd Colombian Rebel Group Steps Up to the Table for Peace Talks,The New York Times,article,http://www.nytimes.com/2017/02/07/world/americas/colombia-rebels-eln-peace-talks.html,Foreign,World,"The National Liberation Army, Colombia’s second-largest rebel group, follows in the footsteps of the largest one in moving closer to ending a 52-year conflict...."
2017-02-08,Opening at the Post Office,The New York Times,article,http://www.nytimes.com/2017/02/07/crosswords/opening-at-the-post-office-kelloggs-remington-picnic.html,Games,Crosswords & Games,Ned White drops by....
2017-02-08,"Many Apply, Few Qualify: Canada Rejects Indian Status for Thousands",The New York Times,article,http://www.nytimes.com/2017/02/07/world/canada/canada-newfoundland-indian-status-qalipu-first-nation.html,Foreign,World,"Canada has rejected more than 72,000 applications from people seeking Indian status, the latest turn in a chaotic process to decide who in Newfoundland qualifies as a Native Canadian...."
2017-02-08,Phil Jackson Lets His Lips Loose as Knicks’ Ship Keeps Sinking,The New York Times,article,http://www.nytimes.com/2017/02/07/sports/basketball/phil-jackson-lets-his-lips-loose-as-knicks-ship-keeps-sinking.html,Sports,Sports,"On Twitter, Jackson signaled his approval for an article that concluded that he had erred in thinking he could turn Carmelo Anthony into a well-rounded player...."
2017-02-08,"Tzvetan Todorov, Literary Theorist and Historian of Evil, Dies at 77",The New York Times,article,http://www.nytimes.com/2017/02/07/world/europe/tzvetan-todorov-dead.html,Foreign,World,"A prolific Bulgarian-French scholar, Mr. Todorov published widely on the moral consequences of colonialism, racism and genocide...."
2017-02-08,Yemen Withdraws Permission for U.S. Antiterror Ground Missions,The New York Times,article,http://www.nytimes.com/2017/02/07/world/middleeast/yemen-special-operations-missions.html,Foreign,World,"The suspension of commando operations in Yemen is a setback for President Trump, who says he wants to take a more aggressive approach against Islamic militants...."
